      32,  -0.029970,   1.013673,  -0.040713
      48,  -0.030580,   1.015260,  -0.039980
      64,  -0.028871,   1.017335,  -0.041812
      79,  -0.025942,   1.015992,  -0.043643
      95,  -0.026552,   1.014039,  -0.041323
     111,  -0.030092,   1.015870,  -0.036562
     126,  -0.031557,   1.016603,  -0.037661
     142,  -0.028749,   1.015504,  -0.044375
     157,  -0.029360,   1.014649,  -0.046451
     173,  -0.029726,   1.011719,  -0.046451
     188,  -0.034609,   1.010987,  -0.044619
     204,  -0.037417,   1.012208,  -0.043521
     219,  -0.035219,   1.012208,  -0.042910
     235,  -0.031435,   1.010987,  -0.045230
     251,  -0.029848,   1.008423,  -0.045718
     266,  -0.032290,   1.008423,  -0.044986
     282,  -0.033388,   1.012696,  -0.041568
     297,  -0.033388,   1.014894,  -0.044009
     313,  -0.033144,   1.016358,  -0.044375
     329,  -0.030214,   1.017091,  -0.044131
     344,  -0.029604,   1.016480,  -0.043765
     360,  -0.031801,   1.016847,  -0.043399
     376,  -0.031313,   1.016236,  -0.044497
     392,  -0.027773,   1.006348,  -0.050967
     408,  -0.030580,   1.008057,  -0.054874
     424,  -0.035097,   1.008667,  -0.051822
     439,  -0.038760,   1.009034,  -0.056339
     455,  -0.038149,   1.004029,  -0.060734
     470,  -0.038638,   1.003784,  -0.060978
     486,  -0.042544,   1.008179,  -0.062687
     501,  -0.042544,   1.011597,  -0.062077
     516,  -0.047549,   1.012086,  -0.064884
     532,  -0.046817,   1.015504,  -0.067814
     548,  -0.047671,   1.019044,  -0.070500
     563,  -0.051456,   1.006348,  -0.071354
     579,  -0.049747,   1.008179,  -0.071110
     594,  -0.043521,   1.001709,  -0.076848
     610,  -0.041934,   1.000610,  -0.074284
     626,  -0.036684,   1.015626,  -0.065739
     641,  -0.027040,   1.026369,  -0.050113
     656,  -0.012757,   1.026003,  -0.040469
     672,   0.011903,   1.017335,  -0.028261
     688,   0.027651,   1.009644,  -0.014710
     703,   0.035708,   0.999756,  -0.015077
     718,   0.043521,   1.002808,  -0.012757
     734,   0.043399,   0.986327,  -0.019471
     750,   0.040225,   1.007691,  -0.008729
     766,   0.051944,   1.006836,  -0.007996
     782,   0.068547,   1.021363,   0.005677
     797,   0.085027,   1.010010,   0.018861
     812,   0.115547,   0.984252,   0.030947
     828,   0.144845,   0.981444,   0.049502
     843,   0.164500,   0.981810,   0.070622
     859,   0.180492,   0.972899,   0.075871
     874,   0.189404,   0.973387,   0.082586
     890,   0.191235,   0.967039,   0.080754
     907,   0.204053,   0.971190,   0.087103
     922,   0.222853,   0.977293,   0.110053
     938,   0.247513,   0.980956,   0.126656
     954,   0.265702,   0.980590,   0.130562
     969,   0.282183,   0.976805,   0.137643
     984,   0.288775,   0.956052,   0.143625
    1000,   0.301715,   0.944088,   0.146676
    1016,   0.312702,   0.943600,   0.153879
    1030,   0.323201,   0.946286,   0.162302
    1046,   0.344442,   0.926509,   0.157786
    1062,   0.349448,   0.923701,   0.164500
    1077,   0.354819,   0.905023,   0.163645
    1092,   0.376793,   0.911250,   0.181591
    1108,   0.404261,   0.909785,   0.187328
    1124,   0.414271,   0.914912,   0.204053
    1139,   0.432460,   0.910761,   0.201367
    1154,   0.435390,   0.902948,   0.199292
    1173,   0.436855,   0.891839,   0.201001
    1189,   0.435268,   0.881218,   0.192944
    1204,   0.431484,   0.866447,   0.181224
    1220,   0.441494,   0.864494,   0.172557
    1236,   0.441616,   0.859122,   0.170359
    1251,   0.446622,   0.858878,   0.174388
    1267,   0.456876,   0.848990,   0.177806
    1283,   0.458463,   0.851798,   0.181469
    1298,   0.454801,   0.844107,   0.177562
    1314,   0.453214,   0.831533,   0.158396
    1329,   0.463346,   0.827992,   0.150095
    1345,   0.458951,   0.827626,   0.157663
    1361,   0.480315,   0.825917,   0.181591
    1376,   0.496063,   0.832875,   0.221876
    1392,   0.532198,   0.827260,   0.247391
    1408,   0.546847,   0.815052,   0.254105
    1423,   0.562229,   0.799060,   0.253006
    1439,   0.544772,   0.794177,   0.240066
    1454,   0.540621,   0.808826,   0.235183
    1470,   0.534395,   0.820912,   0.232863
    1486,   0.524141,   0.821278,   0.244827
    1501,   0.535372,   0.839590,   0.245682
    1517,   0.534029,   0.843496,   0.255692
    1533,   0.539156,   0.826894,   0.258866
    1548,   0.556003,   0.797473,   0.243850
    1564,   0.547580,   0.793933,   0.244949
    1579,   0.539889,   0.790148,   0.241042
    1595,   0.515718,   0.794909,   0.252762
    1611,   0.508393,   0.795886,   0.263749
    1626,   0.536837,   0.795398,   0.275957
    1642,   0.568089,   0.821522,   0.294635
    1657,   0.588232,   0.864249,   0.310139
    1673,   0.576756,   0.830434,   0.283404
    1689,   0.532564,   0.806995,   0.207593
    1704,   0.468962,   0.824940,   0.172801
    1720,   0.420741,   0.866203,   0.162302
    1736,   0.404871,   0.897455,   0.170115
    1751,   0.405115,   0.955686,   0.205396
    1767,   0.440884,   0.963743,   0.204419
    1782,   0.426234,   0.882805,   0.151560
    1798,   0.381554,   0.876335,   0.124702
    1814,   0.310871,   0.906977,   0.100287
    1829,   0.273027,   0.940670,   0.094671
    1845,   0.217604,   0.977293,   0.077092
    1861,   0.092840,   1.174205,   0.027040
    1876,   0.031069,   1.275285,  -0.002869
    1892,   0.238723,   1.180065,   0.068669
    1907,   0.317707,   1.080571,   0.141183
    1923,   0.359946,   0.910273,   0.093206
    1939,   0.329915,   0.910029,   0.098578
    1954,   0.272294,   0.931636,   0.086004
    1970,   0.173289,   0.932125,   0.047305
    1985,   0.161570,   0.965818,   0.045840
